Date,Open,High,Low,Close,adj close,Volume,Company,SMA_10,SMA_50,Daily_Return,Volatility,RSI,Target_5d_Return
2023-12-21,196.1000061035156,197.0800018310547,193.5,194.67999267578125,194.67999267578125,46482500,AAPL,195.95800170898437,185.1410006713867,-0.0007699489496669765,0.00913233266717288,57.388274482018105,
2023-12-22,195.17999267578125,195.4100036621093,192.97000122070312,193.6000061035156,193.6000061035156,37122800,AAPL,195.74700164794922,185.3988006591797,-0.005547496470601709,0.00907146649168206,59.24614199932594,
2023-12-26,193.6100006103516,193.88999938964844,192.8300018310547,193.0500030517578,193.0500030517578,28919300,AAPL,195.73400268554687,185.68280059814452,-0.0028409247645565516,0.009102530783225416,49.03193403992673,
2023-12-27,192.4900054931641,193.5,191.08999633789065,193.1499938964844,193.1499938964844,48087700,AAPL,195.5780014038086,185.97140045166014,0.0005179530854488856,0.009086267695928235,52.29151254825773,
2023-12-28,194.13999938964844,194.6600036621093,193.1699981689453,193.5800018310547,193.5800018310547,34014500,AAPL,195.14000091552734,186.30000061035156,0.002226290179438095,0.008973267560757772,47.920430004672454,
2023-12-21,153.3000030517578,153.97000122070312,152.10000610351562,153.83999633789062,153.83999633789062,36305700,AMZN,150.08399810791016,140.82120025634765,0.011306871390431628,0.011860450010762386,63.24385791236679,
2023-12-22,153.77000427246094,154.35000610351562,152.7100067138672,153.4199981689453,153.4199981689453,29480100,AMZN,150.68399810791016,141.24300018310547,-0.0027300973670256745,0.011907647968837006,67.91979007389098,
2023-12-26,153.55999755859375,153.97999572753906,153.02999877929688,153.41000366210938,153.41000366210938,25067200,AMZN,151.43599853515624,141.715400390625,-6.514474615582078e-05,0.011870993040116263,64.9018660151794,
2023-12-27,153.55999755859375,154.77999877929688,153.1199951171875,153.33999633789062,153.33999633789062,31434700,AMZN,152.0219985961914,142.13120025634765,-0.0004563413242133496,0.011782206353506961,72.47703211265679,
2023-12-28,153.72000122070312,154.0800018310547,152.9499969482422,153.3800048828125,153.3800048828125,27031200,AMZN,152.4759994506836,142.56940032958985,0.0002609139551152939,0.011677605988362705,68.78610728416774,
2020-06-26,9.470000267028809,9.539999961853027,9.029999732971191,9.3100004196167,9.3100004196167,657500,BRKL,9.642000007629395,9.750600032806396,-0.03722850608448136,0.03431754917730488,27.67124203943142,
2020-06-29,9.479999542236328,9.90999984741211,9.470000267028809,9.890000343322754,9.890000343322754,276500,BRKL,9.688000011444093,9.734000034332276,0.06229859264925075,0.03698969190822801,42.74193651759697,
2020-06-30,9.829999923706056,10.130000114440918,9.510000228881836,10.079999923706056,10.079999923706056,319400,BRKL,9.702000045776368,9.721600036621094,0.019211281474988073,0.037150081226817844,50.0,
2020-07-01,10.119999885559082,10.210000038146973,9.520000457763672,9.539999961853027,9.539999961853027,328500,BRKL,9.692000007629394,9.704000034332275,-0.05357142519248059,0.037249941832805646,52.35293919652368,
2020-07-02,9.81999969482422,9.989999771118164,9.380000114440918,9.420000076293944,9.420000076293944,300000,BRKL,9.655000019073487,9.684800033569337,-0.012578604406595306,0.03679764610077478,49.271134108043235,
2020-03-26,1114.719970703125,1171.47998046875,1092.030029296875,1162.9200439453125,1162.9200439453125,3828100,GOOGL,1112.5080078125,1359.2133984375,0.05564536691402733,0.05469361230668806,42.29993878511452,
2020-03-27,1127.469970703125,1151.050048828125,1104.0,1110.260009765625,1110.260009765625,3139700,GOOGL,1102.1070068359375,1352.634599609375,-0.045282592258908516,0.05512873522243827,43.682125946180754,
2020-03-30,1132.6400146484375,1151.0,1098.489990234375,1146.31005859375,1146.31005859375,2936800,GOOGL,1109.4380126953124,1346.5576000976562,0.032469915615293665,0.055021944091040734,42.06371247573714,
2020-03-31,1148.72998046875,1173.4000244140625,1136.719970703125,1161.949951171875,1161.949951171875,3261400,GOOGL,1113.827001953125,1340.2061987304687,0.013643684325086891,0.05483928444028891,46.793146561244896,
2020-04-01,1124.0,1129.4200439453125,1093.489990234375,1102.0999755859375,1102.0999755859375,2597100,GOOGL,1114.9180053710938,1332.6031982421875,-0.051508221611073934,0.054974309762997026,49.34710941051355,
2023-12-21,166.83999633789062,168.08999633789062,165.67999267578125,167.5,167.5,7601700,JPM,163.71500091552736,150.94539947509764,0.005703974367067266,0.00710028665417118,79.910211225395,
2023-12-22,167.5,168.22999572753906,167.22999572753906,167.39999389648438,167.39999389648438,6574900,JPM,164.60299987792968,151.37719940185548,-0.0005970513642723496,0.00715861698754299,78.05601075121083,
2023-12-26,167.4600067138672,168.77000427246094,167.17999267578125,168.38999938964844,168.38999938964844,4683600,JPM,165.53199920654296,151.78499938964845,0.005914011524852603,0.006991458727117655,79.368644144334,
2023-12-27,167.83999633789062,169.47000122070312,167.5800018310547,169.39999389648438,169.39999389648438,6428600,JPM,166.4199981689453,152.21599914550782,0.005997948277788545,0.006971412948726122,88.29724734600583,
2023-12-28,169.35000610351562,170.66000366210938,169.0,170.3000030517578,170.3000030517578,6309900,JPM,167.34399871826173,152.67139923095704,0.005312923185956109,0.006971835502861772,88.57796182429135,
